title,description,link,duration,updated
Add a map to your Android app (Kotlin with Compose),"This codelab teaches you how to integrate Maps SDK for Android with your app and use its core features by building an app that displays a map of mountains in Colorado, USA, using various types of markers. Additionally, you'll learn to draw other",https://developers.google.com/codelabs/maps-platform/maps-platform-101-compose?hl=en,,"Updated September 19, 2024"
Add a map to your Android app (Kotlin),"This codelab teaches you how to integrate Maps SDK for Android with your app and use its core features by building an app that displays a map of bicycle shops in San Francisco, CA, USA. For the following enablement step, you need to enable Maps SDK",https://developers.google.com/codelabs/maps-platform/maps-platform-101-android?hl=en,,"Updated September 19, 2024"
Add a map to your iOS app (Objective-C),"In this codelab you'll learn everything you need to get started using Google Maps Platform for building iOS apps in Objective-C. You'll learn all the basics from getting set up to loading the Maps SDK for iOS, displaying your first map, working with",https://developers.google.com/codelabs/maps-platform/maps-platform-101-objc?hl=en,21 minutes,"Updated September 19, 2024"
Add a map to your iOS app (Swift),"This codelab teaches you how get started using Google Maps Platform for building iOS apps in Swift. You'll build an iOS app that does the following: To complete this codelab, you need the following accounts, services, and tools: For the enablement",https://developers.google.com/codelabs/maps-platform/maps-platform-101-swift?hl=en,32 minutes,"Updated November 12, 2024"
Add a map to your iOS app with SwiftUI (Swift),"This codelab teaches you how to use the Maps SDK for iOS with SwiftUI. For the following enablement step, enable Maps SDK for iOS. If you do not already have a Google Cloud Platform account and a project with billing enabled, please see the Getting",https://developers.google.com/codelabs/maps-platform/maps-platform-ios-swiftui?hl=en,,"Updated November 12, 2024"
Add a map to your website (JavaScript),"In this codelab, you learn everything you need to get started using Google Maps Platform for the web. You learn all the basics, from getting set up to loading the Maps JavaScript API, displaying your first map, working with markers and marker",https://developers.google.com/codelabs/maps-platform/maps-platform-101-js?hl=en,42 minutes,"Updated September 19, 2024"
Add a scrollable list,Build an app that displays a scrollable list of affirmations with text and images.,https://developer.android.com/codelabs/basic-android-kotlin-compose-training-add-scrollable-list?hl=en,,"Updated May 8, 2024"
Add a scrollable list,Add a scrollable list to the Affirmations app,https://developer.android.com/codelabs/basic-android-compose-training-add-scrollable-list?hl=en,1 hour 5 minutes,"Updated September 22, 2023"
Add a user authentication flow to a Flutter app using FirebaseUI,"In this codelab, you'll learn how to add Firebase Authentication to your Flutter app using the FlutterFire UI package. With this package, you'll add both email and password auth and Google Sign In auth to a Flutter app. You'll also learn how to set",https://firebase.google.com/codelabs/firebase-auth-in-flutter-apps?hl=en,8 minutes,"Updated November 13, 2025"
Add Ad Breaks API Support to a Web Receiver,"In this codelab, you will build a Custom Web Receiver application that uses the Cast Ad Breaks API.",https://developers.google.com/cast/codelabs/cast-ads-receiver?hl=en,56 minutes,"Updated September 19, 2024"
Add adaptive layouts to a view-based Android app with Compose,Learn how to add adaptive layouts to a view-based Android app with Jetpack Compose.,https://developer.android.com/codelabs/add-adaptive-layouts?hl=en,1 hour 1 minute,"Updated May 8, 2024"
Add Compose to a View-based app,"In this codelab, you learn how to migrate parts of a screen in the View system to Jetpack Compose.",https://developer.android.com/codelabs/basic-android-kotlin-training-compose-add-compose-to-a-view-based-app?hl=en,,"Updated June 29, 2024"
Add Firestore Vector Search to your mobile apps with Firebase Extensions,"In this codelab, you will learn how to add powerful search features to your app using Firestore vector similarity search. You will implement a semantic search feature for a note-taking app written in Swift and SwiftUI. To use the Firebase Vector",https://firebase.google.com/codelabs/firestore-vectorsearch-ios?hl=en,,"Updated September 27, 2025"
Add Gemini capabilities to your Android app,Learn how to add a simple Gemini feature to an Android app with Firebase AI Logic.,https://developer.android.com/codelabs/gemini-summarize?hl=en,,"Updated October 30, 2025"
Add images to your Android app,Learn how to build a simple app with composable functions.,https://developer.android.com/codelabs/basic-android-kotlin-compose-add-images?hl=en,,"Updated June 18, 2024"
"Add keyboard, mouse, trackpad, and stylus support with Jetpack Compose","Learn how to develop your apps to support keyboard and pointing devices, such as mouse and trackpad, with Compose.",https://developer.android.com/codelabs/large-screens/add-keyboard-and-mouse-support-with-compose?hl=en,1 hour 9 minutes,"Updated July 26, 2024"
Add live support to a Cast Receiver,"In this codelab, you will build a Custom Web Receiver application that uses the Cast Live API.",https://developers.google.com/cast/codelabs/cast-live-receiver?hl=en,30 minutes,"Updated September 19, 2024"
Add markers and animation to a Photorealistic 3D Map,This tutorial explores how to add and style 3D markers in your application. You'll also learn how to animate your application by flying to and around specific locations. This tutorial builds on the concepts covered in the first codelab. If you,https://developers.google.com/codelabs/maps-platform/maps-platform-3d-maps-js-markers?hl=en,1 hour 37 minutes,"Updated April 23, 2025"
Add Nearby Messages to your app,Learn how to send and discover messages with the Nearby Messages API,https://developer.android.com/codelabs/android-nearby-messages?hl=en,15 minutes,"Updated September 22, 2023"
Add new functionality to your web app quickly with Firebase Extensions,"In this codelab, you'll add functionality to an online marketplace app with the help of Firebase Extensions. Through this codelab, you'll understand how extensions can help you to spend less time on app development and management tasks. In this",https://firebase.google.com/codelabs/firebase-extensions?hl=en,25 minutes,"Updated September 27, 2025"
Add on-device Text Classification to your app with TensorFlow Lite and Firebase - Android Codelab,Welcome to the Text Classification with TensorFlow Lite and Firebase codelab. In this codelab you'll learn how to use TensorFlow Lite and Firebase to train and deploy a text classification model to your app. This codelab is based on this TensorFlow,https://firebase.google.com/codelabs/textclassification-android?hl=en,58 minutes,"Updated September 27, 2025"
Add on-device Text Classification to your app with TensorFlow Lite and Firebase - iOS Codelab,Welcome to the Text Classification with TensorFlow Lite and Firebase codelab. In this codelab you'll learn how to use TensorFlow Lite and Firebase to train and deploy a text classification model to your app. This codelab is based on this TensorFlow,https://firebase.google.com/codelabs/textclassification-iOS?hl=en,58 minutes,"Updated September 27, 2025"
Add Play Integrity to your Android application,"In this codelab, you’ll add the Play Integrity API to a sample application. You’ll use the Play Integrity API to request an integrity verdict that helps you make determinations about the license status and integrity of your app, and the integrity status of the device it is running on.",https://developer.android.com/codelabs/add-play-integrity?hl=en,1 hour 18 minutes,"Updated September 22, 2023"
Add pre-order offers for one-time products,"In this codelab, you’ll learn how to create a new one-time product with a pre-order offer, and configure region specific pricing.",https://codelabs.developers.google.com/codelabs/play-billing-create-preorder-offers?hl=en,47 minutes,"Updated November 10, 2025"
Add predictive back animations,"In this codelab, you learn how to add predictive back animations to the SociaLite app.",https://developer.android.com/codelabs/predictive-back?hl=en,28 minutes,"Updated March 20, 2025"
Add push notifications to an iOS app,"In this codelab, you’ll add push notifications to an iOS app with Firebase Cloud Messaging.",https://codelabs.developers.google.com/codelabs/push-notifications-ios?hl=en,45 minutes,"Updated August 19, 2025"
Add Recommendations to your app with TensorFlow Lite and Firebase - Android Codelab,Welcome to the Recommendations with TensorFlow Lite and Firebase codelab. In this codelab you'll learn how to use TensorFlow Lite and Firebase to deploy a recommendation model to your app. This codelab is based on this TensorFlow Lite example.,https://firebase.google.com/codelabs/contentrecommendation-android?hl=en,57 minutes,"Updated September 27, 2025"
Add Recommendations to your app with TensorFlow Lite and Firebase - iOS Codelab,Welcome to the Recommendations with TensorFlow Lite and Firebase codelab. In this codelab you'll learn how to use TensorFlow Lite and Firebase to deploy a recommendation model to your app. This codelab is based on this TensorFlow Lite example.,https://firebase.google.com/codelabs/contentrecommendation-ios?hl=en,56 minutes,"Updated September 27, 2025"
Add repository and Manual DI,Learn how to further improve the architecture of the Mars Photos app by separating the network calls into a repository.,https://developer.android.com/codelabs/basic-android-kotlin-compose-add-repository?hl=en,,"Updated May 11, 2024"
Add Rewarded Video Ads to your Android App,"In this codelab, you’ll integrate rewarded video ads into a simple demo game.",https://developer.android.com/codelabs/admob-rewarded-video-android?hl=en,35 minutes,"Updated September 22, 2023"
Add Sign in with Google to an iOS app,"In this codelab, you’ll learn how to implement Sign in with Google",https://codelabs.developers.google.com/codelabs/sign-in-with-google-ios?hl=en,30 minutes,"Updated October 16, 2025"
Add sound and music to your Flutter game,"Learn how to add sound effects, background music, and dynamic audio to games with Flutter.",https://codelabs.developers.google.com/codelabs/flutter-codelab-soloud?hl=en,42 minutes,"Updated June 7, 2025"
Adding Google Maps to a Flutter app,"In this codelab, you’ll build a Google Maps experience using the Flutter mobile app SDK for crafting high-quality native experiences on iOS, Android and the web.",https://codelabs.developers.google.com/codelabs/google-maps-in-flutter?hl=en,30 minutes,"Updated May 14, 2024"
Adding in-app purchases to your Flutter app,"In this codelab, you’ll add in-app purchases to a Flutter app that are verified and managed using a Dart backend service.",https://codelabs.developers.google.com/codelabs/flutter-in-app-purchases?hl=en,,"Updated September 12, 2025"
Adding WebView to your Flutter app,"In this codelab, you’ll learn how to add the webview_flutter plugin to a Flutter app.",https://codelabs.developers.google.com/codelabs/flutter-webview?hl=en,1 hour 5 minutes,"Updated September 12, 2025"
Adding Your Progressive Web App to Google Play,"In this lab, you'll take an existing Progressive Web App that you have deployed and wrap it in an app for distribution in Google's Play store. Bubblewrap is a tool to make wrapping your Progressive Web App into an Android App Bundle as easy as",https://developers.google.com/codelabs/pwa-in-play?hl=en,1 hour 30 minutes,"Updated September 19, 2024"
Advanced activity embedding,"In this codelab you will learn how to use activity embedding’s newly added feature to improve app large screen experience. These features include pane expansion, overlay presentation, full screen dialog dim and activity stack pinning.",https://developer.android.com/codelabs/large-screens/advanced-activity-embedding?hl=en,1 hour 7 minutes,"Updated October 2, 2024"
Advanced Android in Kotlin 04.1: Android Google Maps,"Learn how to add a Google map to, and style it in, an Android Kotlin app.",https://codelabs.developers.google.com/codelabs/advanced-android-kotlin-training-maps?hl=en,,"Updated July 29, 2023"
Advanced Authentication features,"In this codelab, you start with a version of the Friendly Chat sample app that is nearly complete, so the first thing you need to do is clone the source code: Then, move into the security-start directory, where you will work for the remainder of this",https://firebase.google.com/codelabs/auth-mfa-blocking-functions?hl=en,29 minutes,"Updated September 27, 2025"
Advanced RAG Techniques,"“Build a Retrieval Augmented Generation (RAG) system using Cloud SQL and Vertex AI, exploring chunking strategies, reranking, and query transformations.”",https://codelabs.developers.google.com/codelabs/production-ready-ai-with-gc/8-advanced-rag-methods/advanced-rag-methods?hl=en,,"Updated December 18, 2025"
Advanced State and Side Effects in Jetpack Compose,"In this codelab, you’ll learn advanced concepts of state and side effects in Jetpack Compose. See how to create a state holder for complex stateful composables, how to create coroutines and call suspend functions from Compose code, and how to trigger side effects to accomplish different use cases.",https://developer.android.com/codelabs/jetpack-compose-advanced-state-side-effects?hl=en,41 minutes,"Updated December 22, 2023"
Advanced WorkManager,"Built on top of the “WorkManager Basics” codelab, this adds support for the new Progress API introduced in WorkManager v2.3 and shows how to customize WorkManager with a custom configuration. This codelab will also cover how to test Workers.",https://developer.android.com/codelabs/android-adv-workmanager?hl=en,45 minutes,"Updated September 22, 2023"
AI-Assisted Data Science with BigQuery,"Learn how to use BigQuery for a multimodal data science workflow, including AI-based data enrichment, clustering, and vector search, using a real estate scenario.",https://codelabs.developers.google.com/codelabs/bigquery-data-science-notebooks?hl=en,59 minutes,"Updated November 22, 2025"
Alert testers about your new app releases with Firebase App Distribution Android SDK - Codelab,"Welcome to the Integrating the Firebase App Distribution SDK in your Android app codelab. In this codelab, you'll add the App Distribution Android SDK to your app in order to display in-app alerts to your testers when new builds are available to",https://firebase.google.com/codelabs/appdistribution-android?hl=en,15 minutes,"Updated September 27, 2025"
Alert testers about your new app releases with Firebase App Distribution iOS SDK - Codelab,"Welcome to the Integrating the Firebase App Distribution SDK in your iOS app codelab. In this codelab, you'll add the App Distribution SDK to your app in order to display in-app alerts to your testers when new builds are available to download. You'll",https://firebase.google.com/codelabs/appdistribution-ios?hl=en,16 minutes,"Updated September 27, 2025"
Android App Resizing,"In this Jetpack Compose-based codelab, you’ll optimize an Android app to demonstrate best practices for free-form resizing. This includes using manifest compatibility, configuration change implications, and maintaining continuity through resizing.",https://codelabs.developers.google.com/codelabs/android-resizing?hl=en,,"Updated December 15, 2023"
Android fundamentals 02.2: Activity lifecycle and state,In this codelab you add logging statements to the TwoActivities app and observe activity lifecycle changes. You work with these changes and explore how to handle user input under these conditions.,https://developer.android.com/codelabs/android-fundamentals-02-2-activity-lifecycle-and-state?hl=en,,"Updated September 22, 2023"
Android Privacy Codelab,"Android has released many individual privacy features over the past few releases, and we are excited for you to adopt them in your apps! This codelab will seek to tie individual privacy features together and show the developer how they can learn about their app’s access to private user data and adopt privacy best practices in an existing, running app.",https://developer.android.com/codelabs/android-privacy-codelab?hl=en,,"Updated September 22, 2023"
Android Testing Codelab,"In this codelab you’ll learn how to write tests for a real world Android application that uses modern architecture. It showcases unit, integration and end-to-end tests using JUnit4, code coverage tools, Robolectric and Espresso. You’ll also learn how to create tests for an app that uses Kotlin coroutines and Architecture Components like ViewModel, LiveData, Room, Navigation and Data Binding.",https://developer.android.com/codelabs/android-testing?hl=en,,"Updated September 22, 2023"
AngularFire web codelab,"In this codelab, you'll learn how to use AngularFire to create web applications by implementing and deploying a chat client using Firebase products and services. The codelab source can be found at https://github.com/firebase/codelab-friendlychat-web.",https://firebase.google.com/codelabs/firebase-web?hl=en,1 hour 25 minutes,"Updated September 27, 2025"
Animating elements in Jetpack Compose,"In this codelab, you’ll learn how to use some Compose Animation APIs.",https://developer.android.com/codelabs/jetpack-compose-animation?hl=en,20 minutes,"Updated November 23, 2023"
Anthropic Claude Opus 4.5 & Gemini 3 on Vertex AI with python sdk via Private Service Connect endpoint,Access Anthropic Opus 4.5 and Gemini 3 Pro on Vertex AI from a VM via python sdk and PSC endpoint,https://codelabs.developers.google.com/codelabs/anthropic-on-vertexai-psc?hl=en,,"Updated December 1, 2025"
App Check Web Codelab,Last Updated: 2023-02-23 You can use Firebase App Check to prevent unauthorized clients from accessing your backend resources by requiring incoming requests to come attached with an attestation that the request comes from your genuine app and by,https://firebase.google.com/codelabs/appcheck-web?hl=en,32 minutes,"Updated September 27, 2025"
App Mod Workshop,"In this codelab, you will modernize an old PHP application to Google Cloud, containerize it, deploy to Cloud Run and connect it to Cloud SQL. Moreover",https://codelabs.developers.google.com/codelabs/app-mod-workshop?hl=en,1 hour 38 minutes,"Updated April 11, 2025"
Approximate location,Request location permission in Android 1,https://developer.android.com/codelabs/approximate-location?hl=en,,"Updated September 22, 2023"
Apps Script: Vibe-code a Gmail add-on with Gemini CLI and MCP servers,"This lab guides you through a modern, AI-driven workflow to build a dynamic Gmail add-on from the ground up. You will use the Gemini CLI to orchestrate a powerful local development environment, leveraging MCP (Model Context Protocol) servers and",https://codelabs.developers.google.com/devsite/codelabs/apps-script-vibe-code-gmail-add-on-gemini-cli-mcp-servers?hl=en,,"Updated November 19, 2025"
ARCore Augmented Images,In this codelab you’ll learn how to use ARCore’s Augmented Images to add virtual content attached to an image and track the image’s movement.,https://codelabs.developers.google.com/codelabs/augimg-intro?hl=en,27 minutes,"Updated May 9, 2024"
ARCore Cloud Anchors with persistent Cloud Anchors,"In this codelab, you’ll learn how to use Cloud Anchors in order to create shared AR experiences, by establishing a common frame of reference (same position and orientation) across multiple devices using the ARCore Cloud Anchors Service.",https://codelabs.developers.google.com/codelabs/arcore-cloud-anchors?hl=en,,"Updated May 11, 2023"
Asynchronous invocation of agentic AI application using events,"This lab demonstrates how to securely implement an event driven invocation of an ADK agent deployed on Cloud Run using Eventarc and Pub/Sub services. Most often an agent is called by a user or another agent directly. However, when an agent is getting",https://codelabs.developers.google.com/codelabs/genai/agents/async-invocation-with-adk?hl=en,,"Updated November 29, 2025"
Automate Google Workspace tasks with the Gemini API,Learn how to use the power of the Gemini API to automate Google Workspace tasks and explore further possibilities.,https://codelabs.developers.google.com/codelabs/gemini-workspace?hl=en,58 minutes,"Updated May 24, 2024"
Automatically Deploy Generative AI Angular Web Application from Version Control to Cloud Run,"Deploying a web application for the first time can be intimidating. Even after the first deployment, if the process is too much work, you might avoid deploying new versions of your application. With continuous deployment, you can automatically deploy",https://codelabs.developers.google.com/codelabs/deploy-from-github/gen-ai-angular?hl=en,,"Updated November 20, 2025"
Automatically Deploy Generative AI Go Web Application from Version Control to Cloud Run,"Deploying a web application for the first time can be intimidating. Even after the first deployment, if the process is too much work, you might avoid deploying new versions of your application. With continuous deployment, you can automatically deploy",https://codelabs.developers.google.com/codelabs/deploy-from-github/gen-ai-go?hl=en,,"Updated November 20, 2025"
Automatically Deploy Generative AI Go with Genkit Web Application from Version Control to Cloud Run,"Deploying a web application for the first time can be intimidating. Even after the first deployment, if the process is too much work, you might avoid deploying new versions of your application. With continuous deployment, you can automatically deploy",https://codelabs.developers.google.com/codelabs/deploy-from-github/genkit-go?hl=en,,"Updated November 20, 2025"
Automatically Deploy Generative AI Java Web Application from Version Control to Cloud Run,"Deploying a web application for the first time can be intimidating. Even after the first deployment, if the process is too much work, you might avoid deploying new versions of your application. With continuous deployment, you can automatically deploy",https://codelabs.developers.google.com/codelabs/deploy-from-github/gen-ai-java?hl=en,,"Updated November 20, 2025"
Automatically Deploy Generative AI Next.js Web Application from Version Control to Cloud Run,"Deploying a web application for the first time can be intimidating. Even after the first deployment, if the process is too much work, you might avoid deploying new versions of your application. With continuous deployment, you can automatically deploy",https://codelabs.developers.google.com/codelabs/deploy-from-github/gen-ai-nextjs?hl=en,,"Updated November 20, 2025"
Automatically Deploy Generative AI Node.js Genkit Web Application from Version Control to Cloud Run,"Deploying a web application for the first time can be intimidating. Even after the first deployment, if the process is too much work, you might avoid deploying new versions of your application. With continuous deployment, you can automatically deploy",https://codelabs.developers.google.com/codelabs/deploy-from-github/genkit-nodejs?hl=en,,"Updated November 20, 2025"
Automatically Deploy Generative AI Node.js Web Application from Version Control to Cloud Run,"Deploying a web application for the first time can be intimidating. Even after the first deployment, if the process is too much work, you might avoid deploying new versions of your application. With continuous deployment, you can automatically deploy",https://codelabs.developers.google.com/codelabs/deploy-from-github/gen-ai-nodejs?hl=en,,"Updated November 20, 2025"
Automatically Deploy Generative AI Python Web Application from Version Control to Cloud Run,"Deploying a web application for the first time can be intimidating. Even after the first deployment, if the process is too much work, you might avoid deploying new versions of your application. With continuous deployment, you can automatically deploy",https://codelabs.developers.google.com/codelabs/deploy-from-github/gen-ai-python?hl=en,,"Updated January 23, 2025"
Automatically Deploy Generative AI Svelte Web Application from Version Control to Cloud Run,"Deploying a web application for the first time can be intimidating. Even after the first deployment, if the process is too much work, you might avoid deploying new versions of your application. With continuous deployment, you can automatically deploy",https://codelabs.developers.google.com/codelabs/deploy-from-github/gen-ai-svelte?hl=en,,"Updated November 20, 2025"
Autoscale Cloud Run worker pools based on the Pub/Sub queue volume using CREMA,Learn how to Autoscale Cloud Run worker pools based on the Pub/Sub queue volume using CREMA,https://codelabs.developers.google.com/codelabs/cloud-run/crema-autoscaler-pubsub-workerpool?hl=en,,"Updated January 29, 2026"
Background Work with WorkManager,"The WorkManager API for Android makes working in the background simple. WorkManager can create tasks that are queryable, reusable, and chainable. WorkManager is the recommended task scheduler on Android. This codelab will teach you the ins and outs of WorkManager: everything from writing a simple job to more complex chained jobs.",https://developer.android.com/codelabs/basic-android-kotlin-compose-workmanager?hl=en,,"Updated June 5, 2024"
Background Work with WorkManager - Java,"Android has many choices for guaranteed background work, which have various pros and cons. The WorkManager library for Android makes working in the background simple. WorkManager deals with edge cases and compatibility issues. It also can create tasks that are query-able, reusable and chain-able. WorkManager is the recommended task scheduler on Android. This codelab will teach you the ins-and-outs of WorkManager: everything from writing a simple job to more complex chained jobs with constraints.",https://developer.android.com/codelabs/android-workmanager-java?hl=en,1 hour 30 minutes,"Updated September 22, 2023"
Basic layouts in Compose,"In this codelab, you’ll learn how to implement real-world designs with the composables and modifiers that Compose provides out of the box.",https://developer.android.com/codelabs/jetpack-compose-layouts?hl=en,54 minutes,"Updated December 10, 2024"
Bot Management with Google Cloud Armor + reCAPTCHA,"In this codelab, you will create a load balancer and associated backend service. You will then create a Cloud Armor bot management rule and learn how it protects your backends.",https://codelabs.developers.google.com/codelabs/cloud-armor-recaptcha-bot-management?hl=en,58 minutes,"Updated July 16, 2024"
Buffer HTTP requests with Cloud Tasks,"In this codelab, you will first learn how to create and use a regular Cloud Tasks queue for HTTP target tasks. Then, you’ll learn how to use queue-level HTTP URI override and the new BufferTask API to more easily buffer HTTP requests with Cloud Tasks.",https://codelabs.developers.google.com/codelabs/cloud-easy-http-cloud-tasks?hl=en,28 minutes,"Updated April 20, 2023"
Build 3D map experiences with WebGL Overlay View,This codelab teaches you how to use the WebGL-powered features of the Maps JavaScript API to control and render on the vector map in three dimensions. This codelab assumes you have intermediate knowledge of JavaScript and the Maps JavaScript API. To,https://developers.google.com/codelabs/maps-platform/webgl?hl=en,1 hour,"Updated September 19, 2024"
Build a 2D physics game with Flutter and Flame,"Learn how to craft game mechanics in Flutter and Flame games with Forge2D, a 2D physics engine.",https://codelabs.developers.google.com/codelabs/flutter-flame-forge2d?hl=en,32 minutes,"Updated June 24, 2025"
Build a chat app with Conversational Analytics and Looker,"In this codelab, you will get started using Conversational Analytics with Looker. You will build your own chat application to query Looker data.",https://codelabs.developers.google.com/codelabs/looker-ca-api?hl=en,1 hour 57 minutes,"Updated January 16, 2026"
Build a complete integration with Health Connect,"In this Codelab, you’ll build a health and fitness app that supports reading and writing to Health Connect.",https://developer.android.com/codelabs/health-connect?hl=en,1 hour 30 minutes,"Updated October 16, 2025"
Build a computer vision model with TensorFlow,Learn to create a computer vision model that recognizes items of clothing with TensorFlow.,https://developers.google.com/codelabs/tensorflow-lab2-computervision?hl=en,1 hour 1 minute,"Updated September 19, 2024"
Build a computer vision model with TensorFlow,Learn to create a computer vision model that recognizes items of clothing with TensorFlow.,https://developers.google.com/codelabs/tensorflow-2-computervision?hl=en,1 hour 1 minute,"Updated September 19, 2024"
"Build a contextual Yoga Poses recommender app with Firestore, Vector Search and Gemini 2.0 (Java version)!","In this codelab, you’ll build a knowledge-driven contextual Yoga Poses search app designed to answer user questions on Yoga poses to match with their questions. It also allows administrative tasks like creating and editing Yoga poses.",https://codelabs.developers.google.com/codelabs/smart-yoga-pose-search-firestore?hl=en,,"Updated March 26, 2025"
Build a custom pre-trained Audio Classification model,"In this codelab, you’ll learn to customize a pre-trained Audio Classification model to detect bird sounds.",https://developers.google.com/codelabs/tflite-audio-classification-custom-model-android?hl=en,2 minutes,"Updated September 19, 2024"
Build a Custom Web Receiver,"In this codelab, you will build a Custom Web Receiver app to play content on Cast-enabled devices.",https://developers.google.com/cast/codelabs/cast-receiver?hl=en,1 hour 37 minutes,"Updated September 19, 2024"
Build a Fast Checkout Experience on Android with Google Pay,"Google Pay API gives users the opportunity to pay everywhere, using the payment information stored in their Google Accounts. In this lab, you make use of Google Pay's client library for Android to improve the checkout experience of a simplified",https://developer.android.com/codelabs/pay-android-checkout?hl=en,28 minutes,"Updated December 21, 2024"
Build a full stack store locator with Google Maps Platform and Google Cloud,"Imagine you have many places to put on a map and you want users to be able to see where these places are and identify which place they want to visit. Common examples of this include: In this codelab, you will create a locator that draws from a live",https://developers.google.com/codelabs/maps-platform/full-stack-store-locator?hl=en,59 minutes,"Updated August 28, 2025"
Build a Gemini powered Flutter app,"In this codelab, you’ll learn how to integrate Gemini API into your Flutter app using Firebase AI Logic",https://codelabs.developers.google.com/codelabs/flutter-gemini-colorist?hl=en,1 hour,"Updated September 22, 2025"
Build a Gemini-Powered YouTube Summarizer,In this codelab you’ll learn how to create a Gemini-powered video summarizer that can summarize YouTube videos.,https://codelabs.developers.google.com/devsite/codelabs/build-youtube-summarizer?hl=en,,"Updated March 13, 2025"
Build a Google Workspace Add-on with Node.js and Cloud Run,"In this codelab, you’ll learn how to build a Google Workspace Add-on using Node.js and Cloud Run.",https://codelabs.developers.google.com/codelabs/workspace-add-on-nodejs-cloudrun?hl=en,44 minutes,"Updated June 4, 2024"
Build a handwritten digit classifier app with TensorFlow Lite,"In this codelab you will train a handwritten digit classifier model using TensorFlow, then convert it to TensorFlow Lite format and deploy it on an Android app.",https://developer.android.com/codelabs/digit-classifier-tflite?hl=en,46 minutes,"Updated September 4, 2024"
Build a Hybrid AI Chat App on GKE with Gemma and Gemini,"Learn how to build and deploy a hybrid AI chat application on Google Kubernetes Engine (GKE). The app uses Gradio for the UI, Firestore for chat history, and can switch between a self-hosted open-model (Gemma) running on GKE and a managed service (Vertex AI Gemini).",https://codelabs.developers.google.com/codelabs/gke/build-hybrid-ai-chat-app-on-gke?hl=en,,"Updated November 21, 2025"
Build a list-detail layout with activity embedding and Material Design,"Activity embedding enables activity-based apps to support two-pane layouts on large screens with no code refactoring. You add some dependencies, create an XML configuration file, implement an initializer, and make a few additions to the app manifest. Or, if you prefer working in code, you can make a few Jetpack API calls from the onCreate() method of the main activity. In this codelab, you will use both the XML and API development approaches to update an activity-based app to a list-detail, two-pane layout.",https://developer.android.com/codelabs/large-screens/activity-embedding?hl=en,1 hour 22 minutes,"Updated March 6, 2025"
Build a local search app with Places UI Kit,"This codelab teaches you how to build a fully interactive local search application by using Google Maps Platform Places UI Kit. For the following enablement step, you'll need to enable the Maps JavaScript API, Places UI Kit, and Geocoding API. If you",https://developers.google.com/codelabs/maps-platform/maps-platform-ui-kit-js?hl=en,5 minutes,"Updated July 29, 2025"
Build a Matter device,"In this codelab, you’ll build, commission, and use a Matter device.",https://developers.home.google.com/codelabs/matter-device?hl=en,1 hour 17 minutes,"Updated October 3, 2023"
